Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Direction
HA+EMD / SHAM,F1SD76,F1SD76,0.9848731123767084,0.9848731123767084,0.0005901240172026,0.0034451721603302,112,F1SD76,ZSWIM4,SWIM-type domain-containing protein,F1SD76_PIG,2,97.913923632037,1.97913923632037,HA+EMD,SHAM,Cul2-RING ubiquitin ligase complex,zinc ion binding,,Upregulated
HA+P2 / SHAM,A0A5G2QK15,A0A5G2QK15,0.9786497888352664,0.9786497888352664,2.522338197637827e-06,7.629348238027518e-05,106,A0A5G2QK15,CNOT8,CCR4-NOT transcription complex subunit 8,A0A5G2QK15_PIG,2,97.06202519218644,1.9706202519218643,HA+P2,SHAM,,,,Upregulated
HA+P2 / SHAM,Q9TV61,Q9TV61,0.9763516263405236,0.9763516263405236,0.0057996740148348,0.0167268340524663,106,Q9TV61,MYH1,Myosin-1,MYH1_PIG,61,96.74836220544093,1.9674836220544087,HA+P2,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
HA+EMD / SHAM,A0A5G2RG67,A0A5G2RG67,0.9752330452169624,0.9752330452169624,0.000286109256418,0.0020923478691918,112,A0A5G2RG67,PIAS2,Protein inhibitor of activated STAT 2,A0A5G2RG67_PIG,2,96.59587418705226,1.9659587418705229,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A5G2RB25,A0A5G2RB25,0.9725694509773128,0.9725694509773128,0.0014739039724137,0.0064714877142491,112,A0A5G2RB25,RTN2,Reticulon,A0A5G2RB25_PIG,6,96.23324139129636,1.9623324139129636,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A287B6I2,A0A287B6I2,0.97209125054017,0.97209125054017,0.0005785063327589,0.0034003545340856,112,A0A287B6I2,PYGM,"Alpha-1,4 glucan phosphorylase",A0A287B6I2_PIG,93,96.16820805520506,1.9616820805520503,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,I3LIE7,I3LIE7,0.9620146847280988,0.9620146847280988,0.0001174536628834,0.0011266560651685,112,I3LIE7,MYBPH,Myosin-binding protein H,I3LIE7_PIG,20,94.80283653387988,1.9480283653387989,HA+EMD,SHAM,M band,,sarcomere organization,Upregulated
VetricynVF / SHAM,F1SAW8,F1SAW8,0.9607568208970488,0.9607568208970488,0.0024552138654003,0.0092166837186889,82,F1SAW8,CASQ2,Calsequestrin,F1SAW8_PIG,7,94.6330649293316,1.946330649293316,VetricynVF,SHAM,"Z disc,sarcoplasmic reticulum lumen","calcium ion binding,calcium-dependent protein binding,Requires Ontology","regulation of heart rate,regulation of cell communication by electrical coupling,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,sequestering of calcium ion,protein polymerization,cardiac muscle contraction,cellular response to caffeine",Upregulated
VetricynVF / SHAM,A0A287AL21,A0A287AL21,0.9603150943245314,0.9603150943245314,0.0038296159420343,0.012559383405578,82,A0A287AL21,ATP2A1,Calcium-transporting ATPase,A0A287AL21_PIG,54,94.5734810022646,1.945734810022646,VetricynVF,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A5G2QJC1,A0A5G2QJC1,0.956472113280727,0.956472113280727,0.0217364930464488,0.0417312121486357,82,A0A5G2QJC1,MYBPC2,"Myosin binding protein C, fast type",A0A5G2QJC1_PIG,83,94.05587529769836,1.940558752976984,VetricynVF,SHAM,M band,,sarcomere organization,Upregulated
HA+EMD / SHAM,F1RK48,F1RK48,0.9523510100589868,0.9523510100589868,0.0002642817119858,0.0019791420234101,112,F1RK48,SRL,Dynamin-type G domain-containing protein,F1RK48_PIG,31,93.50233963116943,1.9350233963116945,HA+EMD,SHAM,"endomembrane system,membrane",GTP binding,"store-operated calcium entry,response to muscle activity involved in regulation of muscle adaptation",Upregulated
HA+P2 / SHAM,A0A287ASL1,A0A287ASL1,0.9519752879377033,0.9519752879377033,0.000671485106155,0.0037662800501179,106,A0A287ASL1,RAD51AP2,RAD51_interact domain-containing protein,A0A287ASL1_PIG,2,93.45195223728564,1.9345195223728564,HA+P2,SHAM,macromolecular complex,,,Upregulated
HA+EMD / SHAM,F6Q9P4,F6Q9P4,0.9493494129144636,0.9493494129144636,0.0125780898716986,0.0286470192548503,112,F6Q9P4,MYL1,Uncharacterized protein,F6Q9P4_PIG,16,93.10016712455428,1.931001671245543,HA+EMD,SHAM,,,,Upregulated
HA+P2 / SHAM,A0A286ZK06,A0A286ZK06,0.9384965303994736,0.9384965303994736,0.0146710788144621,0.0318582950627896,106,A0A286ZK06,MYOM2,Uncharacterized protein,A0A286ZK06_PIG,60,91.65299324627078,1.916529932462708,HA+P2,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A5G2RG67,A0A5G2RG67,0.9314737415314804,0.9314737415314804,0.0108155984899611,0.0257548427053761,82,A0A5G2RG67,PIAS2,Protein inhibitor of activated STAT 2,A0A5G2RG67_PIG,2,90.7223267637252,1.907223267637252,VetricynVF,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A287B6I2,A0A287B6I2,0.9273521575809014,0.9273521575809014,0.0041558160452502,0.0132880071969331,82,A0A287B6I2,PYGM,"Alpha-1,4 glucan phosphorylase",A0A287B6I2_PIG,93,90.178236524222,1.90178236524222,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A287AM97,A0A287AM97,0.9101614203853416,0.9101614203853416,0.001143279893835,0.005431396492782,112,A0A287AM97,LDB3,LIM domain binding 3,A0A287AM97_PIG,27,87.92557529927123,1.8792557529927123,HA+EMD,SHAM,Z disc,metal ion binding,,Upregulated
VetricynVF / SHAM,I3LCN1,I3LCN1,0.9034464530751208,0.9034464530751208,0.0241828232226172,0.0448833426427534,82,I3LCN1,ENO2,Enolase 2,I3LCN1_PIG,3,87.05291555794862,1.8705291555794863,VetricynVF,SHAM,"photoreceptor inner segment,plasma membrane,perikaryon,phosphopyruvate hydratase complex","magnesium ion binding,phosphopyruvate hydratase activity",glycolytic process,Upregulated
HA+P6 / SHAM,Q9TV61,Q9TV61,0.8914000200290952,0.8914000200290952,0.0041065488099273,0.013177223812471,106,Q9TV61,MYH1,Myosin-1,MYH1_PIG,61,85.49753557000477,1.854975355700048,HA+P6,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
HA+EMD / SHAM,A0A480KXA1,A0A480KXA1,0.889160617753694,0.889160617753694,0.0006711186582574,0.0037655623650414,112,A0A480KXA1,MYOM1,Myomesin 1,A0A480KXA1_PIG,119,85.20982309013976,1.8520982309013976,HA+EMD,SHAM,M band,"kinase binding,protein homodimerization activity","positive regulation of gene expression,protein kinase A signaling,sarcomere organization,positive regulation of protein secretion",Upregulated
HA+P2 / SHAM,A0A5G2RET9,A0A5G2RET9,0.8879878473732712,0.8879878473732712,0.0141543173523522,0.0310888943001029,106,A0A5G2RET9,ACTN3,Actinin alpha 3 (gene/pseudogene),A0A5G2RET9_PIG,63,85.05932674285614,1.8505932674285612,HA+P2,SHAM,,,,Upregulated
HA+P2/P6 / SHAM,A0A286ZVF1,A0A286ZVF1,0.8765525668036639,0.8765525668036639,0.000233418272639,0.0018222205719145,112,A0A286ZVF1,ATG9A,Autophagy-related protein 9,A0A286ZVF1_PIG,2,83.59828299813184,1.8359828299813183,HA+P2/P6,SHAM,,,,Upregulated
HA+P2/P6 / SHAM,A0A5G2QY02,A0A5G2QY02,0.8719227808916097,0.8719227808916097,2.097788661489357e-05,0.0003383246698289,112,A0A5G2QY02,CCDC102A,Myosin_tail_1 domain-containing protein,A0A5G2QY02_PIG,2,83.01003789623356,1.830100378962336,HA+P2/P6,SHAM,,,,Upregulated
HA+P2 / SHAM,Cont_P02663,Cont_P02663,0.8685780937945424,0.8685780937945424,0.0109397489280668,0.0259740895977815,106,Cont_P02663,CSN1S2,Alpha-S2-casein,CASA2_BOVIN,4,82.58624610673888,1.8258624610673888,HA+P2,SHAM,,,,Upregulated
HA+P2 / SHAM,Q9TV62,Q9TV62,0.867094685271564,0.867094685271564,0.01666517152814,0.0348044473476073,106,Q9TV62,MYH4,Myosin-4,MYH4_PIG,150,82.39860368270271,1.823986036827027,HA+P2,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,double-stranded RNA binding,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
HA+P6 / SHAM,F1RJW7,F1RJW7,0.8609170793618839,0.8609170793618839,0.0018989218021838,0.0077129142284097,106,F1RJW7,CASQ1,Calsequestrin,F1RJW7_PIG,14,81.61924445910265,1.8161924445910265,HA+P6,SHAM,"Z disc,sarcoplasmic reticulum lumen,mitochondrial matrix,sarcoplasmic reticulum membrane","calcium ion binding,identical protein binding","endoplasmic reticulum organization,response to heat,regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,sarcomere organization,protein polymerization,positive regulation of release of sequestered calcium ion into cytosol,regulation of store-operated calcium entry",Upregulated
HA+P6 / SHAM,A0A5G2QM05,A0A5G2QM05,0.8599228402820689,0.8599228402820689,0.002181394686347,0.0084867152559829,106,A0A5G2QM05,ENSSSCG00000042430,Uncharacterized protein,A0A5G2QM05_PIG,32,81.49412394619063,1.8149412394619064,HA+P6,SHAM,,,,Upregulated
HA+P2 / SHAM,A0A5G2QZN6;Q5XLD3,A0A5G2QZN6;Q5XLD3,0.8585055283979623,0.8585055283979623,0.0045810947403135,0.0141964484504043,106,A0A5G2QZN6;Q5XLD3,CKM,Creatine kinase M-type,A0A5G2QZN6_PIG;KCRM_PIG,46,81.31591063091999,1.8131591063092,HA+P2,SHAM,extracellular space;,"creatine kinase activity,ATP binding;",phosphocreatine biosynthetic process;,Upregulated
VetricynVF / SHAM,Q9TV63,Q9TV63,0.846788472366973,0.846788472366973,0.0031501462790664,0.0109397689651775,82,Q9TV63,MYH2,Myosin-2,MYH2_PIG,52,79.84929103238963,1.7984929103238962,VetricynVF,SHAM,"cytoplasm,myosin filament,myofibril,myosin II complex","microfilament motor activity,calmodulin binding,ATP binding,actin filament binding",muscle contraction,Upregulated
NB / SHAM,A0A287ASL1,A0A287ASL1,0.8447810151791902,0.8447810151791902,0.0005564456630534,0.0033122414981906,90,A0A287ASL1,RAD51AP2,RAD51_interact domain-containing protein,A0A287ASL1_PIG,2,79.59921137490156,1.7959921137490156,NB,SHAM,macromolecular complex,,,Upregulated
HA+EMD / SHAM,A0A5G2QJC1,A0A5G2QJC1,0.8408245441849264,0.8408245441849264,0.0025762012491506,0.0095025444510778,112,A0A5G2QJC1,MYBPC2,"Myosin binding protein C, fast type",A0A5G2QJC1_PIG,83,79.10735024804616,1.7910735024804616,HA+EMD,SHAM,M band,,sarcomere organization,Upregulated
HA+EMD / SHAM,A0A287A0H7,A0A287A0H7,0.8310568294383371,0.8310568294383371,0.0020545743731245,0.0081347892058041,112,A0A287A0H7,HHATL,Hedgehog acyltransferase like,A0A287A0H7_PIG,7,77.89880621078271,1.7789880621078271,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,Q4PS85,Q4PS85,0.8303600056839522,0.8303600056839522,0.0005610072284693,0.0033288748983389,112,Q4PS85,MYOZ1,Myozenin-1,MYOZ1_PIG,16,77.81290158234108,1.7781290158234109,HA+EMD,SHAM,"nucleus,actin cytoskeleton,Z disc,pseudopodium","protein serine/threonine phosphatase inhibitor activity,actinin binding,FATZ binding,Requires Ontology","negative regulation of transcription from RNA polymerase II promoter,skeletal muscle tissue development,wound healing,negative regulation of skeletal muscle tissue regeneration,skeletal muscle fiber adaptation,sarcomere organization,negative regulation of calcineurin-NFAT signaling cascade",Upregulated
HA+EMD / SHAM,A0A287AJY7,A0A287AJY7,0.8200185789644233,0.8200185789644233,0.0007715875079658,0.0041430352536208,112,A0A287AJY7,MYOT,Myotilin,A0A287AJY7_PIG,23,76.542872754982,1.76542872754982,HA+EMD,SHAM,"plasma membrane,axon",protein binding involved in cell-cell adhesion,"homophilic cell adhesion via plasma membrane adhesion molecules,axon guidance,dendrite self-avoidance",Upregulated
HA+EMD / SHAM,P02587,P02587,0.8199634685206468,0.8199634685206468,0.0003354149783255,0.0023354683815587,112,P02587,TNNC2,"Troponin C, skeletal muscle",TNNC2_PIG,5,76.5361290080634,1.765361290080634,HA+EMD,SHAM,troponin complex,calcium ion binding,skeletal muscle contraction,Upregulated
VetricynVF / SHAM,A0A287BLI7,A0A287BLI7,0.8086588088640428,0.8086588088640428,0.0028631762833636,0.0102242882139611,82,A0A287BLI7,TMPRSS9,Transmembrane serine protease 9,A0A287BLI7_PIG,3,75.15823395014031,1.7515823395014032,VetricynVF,SHAM,,serine-type endopeptidase activity,proteolysis,Upregulated
HA+EMD / SHAM,F1S5Z8,F1S5Z8,0.8039245239324646,0.8039245239324646,0.0001825945807076,0.0015343192308639,112,F1S5Z8,SYPL2,MARVEL domain-containing protein,F1S5Z8_PIG,4,74.58438442708959,1.745843844270896,HA+EMD,SHAM,,,,Upregulated
NB REM / SHAM,F1S0K4,F1S0K4,0.7996977409157048,0.7996977409157048,0.0038088235330462,0.0125121840513684,90,F1S0K4,KRT34,IF rod domain-containing protein,F1S0K4_PIG,4,74.0736386649038,1.740736386649038,NB REM,SHAM,"cytoskeleton,intermediate filament",structural molecule activity,"epithelial cell differentiation,intermediate filament organization",Upregulated
HA+P2 / SHAM,A0A5S6I3K1,A0A5S6I3K1,0.7938524905367604,0.7938524905367604,0.0127541408018837,0.02892197321753,106,A0A5S6I3K1,TNNT3,"Troponin T, fast skeletal muscle",A0A5S6I3K1_PIG,22,73.36978546972671,1.733697854697267,HA+P2,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A287BCW7,A0A287BCW7,0.7931849086198002,0.7931849086198002,0.0154707170429338,0.0331138211567178,82,A0A287BCW7,FAHD1,FAA_hydrolase domain-containing protein,A0A287BCW7_PIG,2,73.28958018961875,1.7328958018961875,VetricynVF,SHAM,"mitochondrion,nucleoplasm,cytosol","oxaloacetate decarboxylase activity,acetylpyruvate hydrolase activity,fumarylpyruvate hydrolase activity,metal ion binding,oxaloacetate tautomerase activity","pyruvate metabolic process,oxaloacetate metabolic process",Upregulated
HA+P6 / SHAM,A0A5G2QZN6;Q5XLD3,A0A5G2QZN6;Q5XLD3,0.7843816934914462,0.7843816934914462,0.0016586574010047,0.0070257657154831,106,A0A5G2QZN6;Q5XLD3,CKM,Creatine kinase M-type,A0A5G2QZN6_PIG;KCRM_PIG,46,72.23539992001852,1.7223539992001853,HA+P6,SHAM,extracellular space;,"creatine kinase activity,ATP binding;",phosphocreatine biosynthetic process;,Upregulated
EMD / SHAM,A0A5G2QY02,A0A5G2QY02,0.7838200656479832,0.7838200656479832,6.714026644086772e-08,6.149867849830079e-06,104,A0A5G2QY02,CCDC102A,Myosin_tail_1 domain-containing protein,A0A5G2QY02_PIG,2,72.16836332014668,1.721683633201467,EMD,SHAM,,,,Upregulated
NB / SHAM,A0A287AI32,A0A287AI32,0.7822102559221475,0.7822102559221475,0.0004848785607441,0.0030104991883796,90,A0A287AI32,SHKBP1,BTB domain-containing protein,A0A287AI32_PIG,3,71.9763589644635,1.719763589644635,NB,SHAM,,identical protein binding,"positive regulation of epidermal growth factor receptor signaling pathway,protein homooligomerization",Upregulated
VetricynVF / SHAM,F6Q9P4,F6Q9P4,0.7821477484297912,0.7821477484297912,0.0035741184153385,0.0119564350226776,82,F6Q9P4,MYL1,Uncharacterized protein,F6Q9P4_PIG,16,71.96890792473285,1.7196890792473285,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,Q6QGC0,Q6QGC0,0.7813201996282508,0.7813201996282508,0.0022305872925197,0.0086183146363867,112,Q6QGC0,PDLIM3,PDZ and LIM domain protein 3,PDLI3_PIG,16,71.8702925893912,1.718702925893912,HA+EMD,SHAM,"stress fiber,adherens junction,Z disc,cytosol,filamentous actin","actin binding,metal ion binding,muscle alpha-actinin binding","heart development,actin cytoskeleton organization,muscle structure development",Upregulated
VetricynVF / SHAM,F1STH9,F1STH9,0.7794287990307306,0.7794287990307306,0.0093181108517635,0.0232221059487798,82,F1STH9,ARHGAP42,Rho GTPase activating protein 42,F1STH9_PIG,3,71.64511501002906,1.7164511501002906,VetricynVF,SHAM,,,,Upregulated
HA / SHAM,A0A287AQ56,A0A287AQ56,0.7792469099125587,0.7792469099125587,6.049029477229886e-05,0.000718106213654,108,A0A287AQ56,LOC110262184,Uncharacterized protein,A0A287AQ56_PIG,8,71.62347605672537,1.7162347605672537,HA,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A286ZI93,A0A286ZI93,0.7756268189261726,0.7756268189261726,0.013866243171276,0.0306158737842647,112,A0A286ZI93,TNNI1,"Troponin I1, slow skeletal type",A0A286ZI93_PIG,20,71.19336869400257,1.7119336869400257,HA+EMD,SHAM,,,,Upregulated
VetricynVF / SHAM,F1RK48,F1RK48,0.7732151081636047,0.7732151081636047,0.0066334230748404,0.0183719893276087,82,F1RK48,SRL,Dynamin-type G domain-containing protein,F1RK48_PIG,31,70.9074288523139,1.709074288523139,VetricynVF,SHAM,"endomembrane system,membrane",GTP binding,"store-operated calcium entry,response to muscle activity involved in regulation of muscle adaptation",Upregulated
HA / SHAM,A0A5G2R6Z1,A0A5G2R6Z1,0.771058888212479,0.771058888212479,0.0238883236877981,0.0445199176943632,108,A0A5G2R6Z1,ENSSSCG00000046071,Uncharacterized protein,A0A5G2R6Z1_PIG,2,70.65218519501232,1.7065218519501233,HA,SHAM,,,,Upregulated
HA+P2/P6 / SHAM,A0A287A9W0,A0A287A9W0,0.769137934079597,0.769137934079597,4.7190123444124964e-09,1.0001139047775688e-06,112,A0A287A9W0,TRAM2,TLC domain-containing protein,A0A287A9W0_PIG,2,70.42511234559726,1.7042511234559723,HA+P2/P6,SHAM,endoplasmic reticulum membrane,,"SRP-dependent cotranslational protein targeting to membrane, translocation,collagen biosynthetic process,protein insertion into ER membrane",Upregulated
HA+EMD / SHAM,A0A287B5G8,A0A287B5G8,0.7685724328860362,0.7685724328860362,0.0004782963953708,0.0029819631930936,112,A0A287B5G8,NEB,SH3 domain-containing protein,A0A287B5G8_PIG,420,70.35832295786093,1.7035832295786093,HA+EMD,SHAM,Z disc,actin filament binding,cardiac muscle thin filament assembly,Upregulated
HA+EMD / SHAM,F1SMN5,F1SMN5,0.7676302212902025,0.7676302212902025,0.002029687884943,0.008065116903326,112,F1SMN5,FLNC,Filamin C,F1SMN5_PIG,159,70.24709974076792,1.7024709974076793,HA+EMD,SHAM,"cytosol,sarcolemma,intracellular non-membrane-bounded organelle,intercellular bridge","ankyrin binding,actin filament binding",sarcomere organization,Upregulated
HA+EMD / SHAM,F1SAW8,F1SAW8,0.7585897195701831,0.7585897195701831,0.0002024723197638,0.0016504055016785,112,F1SAW8,CASQ2,Calsequestrin,F1SAW8_PIG,7,69.18359924703923,1.6918359924703923,HA+EMD,SHAM,"Z disc,sarcoplasmic reticulum lumen","calcium ion binding,calcium-dependent protein binding,Requires Ontology","regulation of heart rate,regulation of cell communication by electrical coupling,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,sequestering of calcium ion,protein polymerization,cardiac muscle contraction,cellular response to caffeine",Upregulated
HA+EMD / SHAM,A0A5G2RHD6,A0A5G2RHD6,0.7579404367132345,0.7579404367132345,0.0098822829372893,0.0241834106163764,112,A0A5G2RHD6,ALDOB,Fructose-bisphosphate aldolase,A0A5G2RHD6_PIG,6,69.10747553912289,1.6910747553912289,HA+EMD,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A286ZYZ2,A0A286ZYZ2,0.7553192754547621,0.7553192754547621,0.0001336644927645,0.0012309295282934,82,A0A286ZYZ2,ATP13A3,Cation-transporting ATPase,A0A286ZYZ2_PIG,4,68.80051146988677,1.6880051146988675,VetricynVF,SHAM,late endosome membrane,"ATP binding,polyamine transmembrane transporter activity,ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism,ATPase activity,cation-transporting ATPase activity","cellular calcium ion homeostasis,cation transmembrane transport,polyamine transmembrane transport",Upregulated
HA+EMD / SHAM,A0A5G2QKX2,A0A5G2QKX2,0.7515625469315098,0.7515625469315098,0.0068888242076606,0.0188358551242106,112,A0A5G2QKX2,ANKRD2,ANK_REP_REGION domain-containing protein,A0A5G2QKX2_PIG,14,68.36153250484271,1.6836153250484271,HA+EMD,SHAM,nucleus,RNA polymerase II sequence-specific DNA binding transcription factor binding,regulation of transcription from RNA polymerase II promoter,Upregulated
HA / SHAM,Q8MHY0,Q8MHY0,0.74953223603409,0.74953223603409,0.0021955623861154,0.0085278559690965,108,Q8MHY0,MYL2,MYL2,Q8MHY0_PIG,17,68.1247632428108,1.681247632428108,HA,SHAM,"cytoplasm,myofibril,actin cytoskeleton,cardiac myofibril","actin monomer binding,calcium ion binding,structural constituent of muscle","heart development,negative regulation of cell growth,muscle cell fate specification,ventricular cardiac muscle tissue morphogenesis,cardiac muscle contraction",Upregulated
VetricynVF / SHAM,A0A287BNL5,A0A287BNL5,0.7464729271267766,0.7464729271267766,0.0072668684863531,0.0195195750921136,82,A0A287BNL5,ENSSSCG00000034677,Uncharacterized protein,A0A287BNL5_PIG,29,67.76862378968289,1.677686237896829,VetricynVF,SHAM,,,,Upregulated
HA+P2/P6 / SHAM,A0A5G2RHD6,A0A5G2RHD6,0.7421894639809589,0.7421894639809589,0.0017230045695985,0.0072150959154997,112,A0A5G2RHD6,ALDOB,Fructose-bisphosphate aldolase,A0A5G2RHD6_PIG,6,67.27124567501228,1.6727124567501228,HA+P2/P6,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A286ZV66,A0A286ZV66,0.7406246835412885,0.7406246835412885,0.0125998541788392,0.0286800400244636,82,A0A286ZV66,ENSSSCG00000038561,Uncharacterized protein,A0A286ZV66_PIG,25,67.08991776363322,1.6708991776363322,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A286ZIE2,A0A286ZIE2,0.7402630420649475,0.7402630420649475,0.000932624425825,0.0047158389301367,112,A0A286ZIE2,ENSSSCG00000036052,Uncharacterized protein,A0A286ZIE2_PIG,19,67.04803845451704,1.6704803845451703,HA+EMD,SHAM,,,,Upregulated
HA / SHAM,F1RF44,F1RF44,0.7393012498112412,0.7393012498112412,3.1358174267385734e-06,8.904931897621463e-05,108,F1RF44,SLC2A4,MFS domain-containing protein,F1RF44_PIG,3,66.9367107228712,1.669367107228712,HA,SHAM,"plasma membrane,endomembrane system,perinuclear region of cytoplasm,endosome,trans-Golgi network,cytosol,external side of plasma membrane,trans-Golgi network transport vesicle,cytoplasmic vesicle membrane,insulin-responsive compartment,sarcolemma,membrane raft,extracellular exosome",D-glucose transmembrane transporter activity,"amylopectin biosynthetic process,cellular response to insulin stimulus,glucose homeostasis,glucose import in response to insulin stimulus,glucose import,brown fat cell differentiation,dehydroascorbic acid transport,cellular response to tumor necrosis factor,cellular response to osmotic stress",Upregulated
VetricynVF / SHAM,A0A287ASL1,A0A287ASL1,0.7376563284951579,0.7376563284951579,0.0017621625807827,0.0073304663385533,82,A0A287ASL1,RAD51AP2,RAD51_interact domain-containing protein,A0A287ASL1_PIG,2,66.74648253105528,1.6674648253105528,VetricynVF,SHAM,macromolecular complex,,,Upregulated
HA+P2 / SHAM,P63317,P63317,0.7371069675042569,0.7371069675042569,0.0046973347544918,0.0144503104605303,106,P63317,TNNC1,"Troponin C, slow skeletal and cardiac muscles",TNNC1_PIG,12,66.68299955535018,1.6668299955535018,HA+P2,SHAM,cardiac Troponin complex,"calcium ion binding,troponin I binding,troponin T binding,protein homodimerization activity,calcium-dependent protein binding,actin filament binding","skeletal muscle contraction,transition between fast and slow fiber,regulation of muscle filament sliding speed,ventricular cardiac muscle tissue morphogenesis,cardiac muscle contraction",Upregulated
HA+P6 / SHAM,A0A286ZK06,A0A286ZK06,0.736601379472657,0.736601379472657,0.0046905884494205,0.0144351819565152,106,A0A286ZK06,MYOM2,Uncharacterized protein,A0A286ZK06_PIG,60,66.6245962459959,1.666245962459959,HA+P6,SHAM,,,,Upregulated
HA / SHAM,F1S2X7,F1S2X7,0.7354684947634882,0.7354684947634882,0.0009607720619382,0.0047952047055297,108,F1S2X7,VASH2,Vasohibin 2,F1S2X7_PIG,2,66.49380466750922,1.6649380466750925,HA,SHAM,cytoplasm,,regulation of angiogenesis,Upregulated
HA+P2 / SHAM,A0A287B5C0,A0A287B5C0,0.7351357806146949,0.7351357806146949,0.0054853630743039,0.016105699224581,106,A0A287B5C0,APOBEC2,CMP/dCMP-type deaminase domain-containing protein,A0A287B5C0_PIG,10,66.45541231441695,1.6645541231441694,HA+P2,SHAM,,,,Upregulated
VetricynVF / SHAM,F1S5Z8,F1S5Z8,0.7349622928177005,0.7349622928177005,0.0016958617050108,0.0071354991233622,82,F1S5Z8,SYPL2,MARVEL domain-containing protein,F1S5Z8_PIG,4,66.43539682555377,1.6643539682555375,VetricynVF,SHAM,,,,Upregulated
HA+P2 / SHAM,A0A287ADN4,A0A287ADN4,0.7294636946568379,0.7294636946568379,0.014220751638655,0.0312065945271333,106,A0A287ADN4,TCAP,Uncharacterized protein,A0A287ADN4_PIG,9,65.80226261494131,1.658022626149413,HA+P2,SHAM,,,,Upregulated
EMD / SHAM,Cont_O76011,Cont_O76011,0.724544614910474,0.724544614910474,0.0225900253809642,0.0428591577433363,104,Cont_O76011,KRT34,"Keratin, type I cuticular Ha4",KRT34_HUMAN,5,65.23789823899193,1.652378982389919,EMD,SHAM,,,,Upregulated
HA+P6 / SHAM,Q28989,Q28989,0.7194740241833603,0.7194740241833603,2.3414933152613923e-09,6.374109992183124e-07,106,Q28989,AMBN,Ameloblastin,AMBN_PIG,3,64.65816165819669,1.646581616581967,HA+P6,SHAM,extracellular region,"growth factor activity,structural constituent of tooth enamel","cell adhesion,signal transduction,biomineral tissue development,odontogenesis of dentin-containing tooth",Upregulated
HA / SHAM,A0A5G2RHD6,A0A5G2RHD6,0.719371748770287,0.719371748770287,0.0175399640739029,0.0360315499301136,108,A0A5G2RHD6,ALDOB,Fructose-bisphosphate aldolase,A0A5G2RHD6_PIG,6,64.64648913967453,1.6464648913967452,HA,SHAM,,,,Upregulated
HA+P2/P6 / SHAM,F1S0K4,F1S0K4,0.7177618361158273,0.7177618361158273,0.0145050744559846,0.0316283138496812,112,F1S0K4,KRT34,IF rod domain-containing protein,F1S0K4_PIG,4,64.46286154050671,1.644628615405067,HA+P2/P6,SHAM,"cytoskeleton,intermediate filament",structural molecule activity,"epithelial cell differentiation,intermediate filament organization",Upregulated
HA+EMD / SHAM,A0A286ZQI3,A0A286ZQI3,0.7170880781330564,0.7170880781330564,0.0001459558419411,0.0013056639027809,112,A0A286ZQI3,CKMT2,"Creatine kinase, mitochondrial 2",A0A286ZQI3_PIG,16,64.3860731047887,1.643860731047887,HA+EMD,SHAM,,,,Upregulated
EMD / SHAM,A0A287B1R0,A0A287B1R0,0.7134840289883848,0.7134840289883848,0.0069433770697209,0.0189393859423848,104,A0A287B1R0,TNNC2,"Troponin C, skeletal muscle",A0A287B1R0_PIG,8,63.97592676900927,1.6397592676900927,EMD,SHAM,,,,Upregulated
HA+P2 / SHAM,A0A5G2R5M0,A0A5G2R5M0,0.7118616208303945,0.7118616208303945,0.0001288574402754,0.0011978393432497,106,A0A5G2R5M0,ENSA,Alpha-endosulfine,A0A5G2R5M0_PIG,2,63.79162839537196,1.6379162839537196,HA+P2,SHAM,,,,Upregulated
